ideal1,ideal2,ideal3,ought1,ought2,ought3
generous,business savvy,strategic,considerate,empathetic,patient
strong,brave,openminded,wise,kind,respectful
giving,outgoing,brave,patient,caring,hardworking
kind,healthy,handsome,thoughtfull,smart,brave
kind,creative,clever,diligent,responsible,social
Rich,Helpful,Smart,Successful,Productive,Kind
honest,decent,empathetic,kind,patient,reliable
kin,intelligent,nonjudgmental,kind,patient,faithful
giving,wise,self assured,nonjudgemmental ,forgiving,patient
successful,strong,loving,patient,kind,gentle
faithful,advocate,funny,compassionate,successful,productive
resourceful,hopeful,respectful,smart,clever,clean
courageous,strong,ethical,kind,selfless,hard-working
Frugal,Determined,Wise,Altruistic,Honest,Carefree
popular,knowledgable,famous,grateful,strong,smart
kind,happy,loving,patient,diligent,motivated
honest,faithful,smart,confident,honest,TRUE
healthy,kind,accepting,generous,independent,tolerant
motivated,Inspired,Loyal,Responsible,Conscientious,Courteous
kind,Intelligent,Trustworthy,Responsible,Respectful,Sincere
honest,rich,happy,empathetic,caring,neighborly
Rich,Successful,Loving,Kind,Giving,Happy
spiritual,wise,loving,emphatic ,Caring ,kind 
thoughtful,thoughtful,charismatic,caring,knowledgable,sociable
reliable,successful,rich,accountable,motivated,hard working
wealthy,happy,wise,kind,respectful,caring
loving,loved,inspiring,responsible,mother,citizen
Strong and independent,Intelligent,Passionate,Responsible,Caring,Capable
compassionate,loving,improving,funny,clever,skilled
Wise ,Respected,Successful,Kind,Caring,Empathetic
integrity,vulnerability,caring,honesty,optimism,good
honesty,helpful,persistent,integrity,generous,courageous
loving,calm,artistic,caringk,secure,hard-working
strong,good,better,honest,happy,sincere
kind,generous,compassionate,responsible,organized,hard working
honest,more financially stable ,healthy ,reserved,less giving,self care
kind,generous,entertaining,hardworking,loyal,confident
compassionate,funny,good wife,loyal to family,efficient,honest
Inteligent,Compassionate,Genuine,Responsible,Motivated,Hard-working
responsable,smart,cean,good heart ,kind,good with others
Earnest,Intelligent,Carefree,Honest,Responsible,Empathetic
Empathetic,Passionate,Energetic,Smart,Kind,Generous
wealthy,educated,motivated,Charitable,forgiving,studious
just,brave,patient,kind,honest,committed
honest,giving,happy,caring,generous,adroit
smart,successful,sincere,kind,humble,honest
successful,brave,confident,compassionate ,honest,sensitive 
good morals,empathy,trustworthy,friendly,smarter,loyal
generous,successful,smart,sincere,healthy,happy
Successful,Wealthy,Funny,Kind,Honest,Helpful
courageous,confident,secure,optimistic ,calm,assertive
caring,comitted,inspiring,loving,giving,selfless
confident,kind,trusting,wise,responsible,smart
Empathic,Hard Working ,goal-oriented,Courageous,independent,focused
successful ,outgoing,happy,trustworthy,outgoing,motivated
successful,helpful,remembered,caring,understanding,easy-going
Successful ,Trustworthy ,Helpful,Caring,Humorous ,Courageous 
Driven,Giving,Uplifting,Thankful,cheerful,Connecting
Respectful,Happy,Athletic,Patient,Responsible,Smart
patient,rich,kind,tidy,honest,merciful
kind,caring,benevolent,fair,honest,ethical
detailed,sociable,likeable,organized,disciplined,helpful
good,healthy,strong,caring,responsable,charitable
friendly,honest,fearless,generous,spiritual,outgoing
Honest ,Loyal,Honest ,Trustworthy ,Loving.  ,Caring
Generous,Kind,Genuine,Wise,Smart,Wealthy
Charming,Kind,Caring,Optimism,Self-control,Strong
successful,happy,respected,generous,caring,dependable
smarter,healthy,industrious,kind,skinnier,generous
Brave,Famous,Excellent,Nice,Friendly,Rich
honest,outgoing,intellegent,hard working,kind,friendly
honorable,Remembered,Wise,Strong,Knightly,knowledgeable
Pious.,Righteous.,Patient.,Humble.,Submissive.,Forgiving.
engineer,mortal,man,dog,long,scientist
Fearless,Loyal,Reliable,Punctual,Hardworking,Decisive
positive,calm,helpful,friendly,loyal,brave
CONFIDENT,WEALTHY,FRIENDLY,HONEST,CARING,SINCERE
healthy,healthy,generous,kind,clean,caring
role model ,good human being,peaceful,nice person,well manner,excellent
successful,mentor,inspirational,risk taker,honest,compassionate
Wise,Sane,Positive,Rich,Good,Responsible
Happy,Helpful,Creative,Confident,Driven,Motivated
outgoing,content,kind,hard-working,strong,independent
kind,generous,self-less,considerate,hard-working,smart
Kind,Friendly,Wise,Ethical,Empathetic,Generous
honest,open minded ,happy,self dependent ,kind,loving
Timely,Successful,thoughful,respectful,Competent ,Independent
wealthy,successful,social,determined,peaceful,vibrant
Powerful,Dedicated,Strong,Successful,Receiving,Mysterious
patient,motivated,inspiring,kind,friendly,helpful
independent,successful,entrepreneurial,successful,healthy,competitive
Honest,Wise,Responsible,Kind,Productive,Friendly
Smart,Successful,Caring,Introverted,Happy,Passionate
generous ,wittier,outgoing,kinder,smarter,stronger
Disciplined,Flexible,Hard working,Active,Fair,Friendly
athletic,open minded,caring,organized,politician,creative
Confidence,Adventurous,Happy,Empathy,Independent,Flexible
Nice,Honest,honest,Compassionate,strong,outgoing
happy,honesty,clean,honest,Cool,responsible
Loved,respected,motivated,caring,cautious,social
brave,smart,worthwhile,confident,funny,reliable
inspiring,outgoing,forggivin,loyal,friendly,caring
Willful,Brave,DIYer,perseverance,Innovative,Strong
successful,faithful,motivated,charitable,kind,intelligent
kind,wise,talented,generous,loving,calm
Generous,Charitable,patient,Positive,productive,Faithful
Unique,Great,Innovative,Enjoyable,Valuable,Dependable
nonjudgmental,MOTIVATED,STRONG,HELPFUL,CARING,DEMONSTRATIVE
extroverted,charismatic,warm,honest,determined,kind
forgiving,selfless,generous,patient,loving,charismatic
loving-father,compassionate,intelligent,benevolent,kind,awesome
Kind,Intelligent,Caring,Generous,Honest,Sincere
great ,rich,powerful,good,famous,humble
outgoing,personable,straightforward,empathetic,kind,helpful
successful,wealthy,influential,forgiving,calm,selfless
motivated,organized,wealthy,trustworthy,successful,dependable
Hardworking,Caring,Helpful,Good,Talented,Determined
effective,active,open,successful,healthy,knowledgeable
nice,"good,passionate,remembering",respected,honorable,honorable,honorable
Independent,Magnanimous ,Honest,Responsible,Calm,Punctual
Successful,Hard-working,Honest,Kind,Loving,Friendly
helpful,friendly,fast,happy,good looking,extraordinary
wise,pragmatic,assertive,smart,studious,industrious
Generous,Hard-working,Forgiving,Ethical,Honest,Assertive
empathetic,determined,smart,trustworthy,caring,thoughtful
kind,honest,practical,generous,hard-working,patient
Caring,Admired,Capable,Moral,Charismatic,Kind
kind,sweet,known,understanding,sincere,interesting
sincere,fit,happy,nice,honest,motivated
outgoing,fulfilled,content,patient,thoughtful,confident
oprah,respectable,skilled,kind,honest,attractive
