ideal1,ideal2,ideal3,ought1,ought2,ought3
Intelligent,Empathetic,Understanding,Confident,Funny,Ambitious
brave,open minded,happy,fair,friendly,kind
confident,smart,athletic,strong,kind,quick witted
Honest,Successful,Careful,Dishonest,Liar,Kind
creative,organized,strongwilled,smart,kind,loyal
Confident,Friendly,Giving,Happy,Nice,Professional
Calm,Wealthy enough to not worry about paying bills,Artistic ,Forgiving ,Optimistic,Giving 
Reliable,Successful,Organized,Caring,Compassionate,Principled
calm,accomplished,generous,good,kind,decent
Smart,Funny,Intellegent,Unique,Creative,Friendly
Kind,Creative,Original,Forgiving,Generous,Fun
giving,wealthy,intelligent ,forgiving,loyal,kind
confident,kind,financially stable,humble,intelligent,hardworking
Godly,Successful,Loving,Godly,Kind,Smart
honest ,disciplined,sensitive,intelligent,confident,kind
compassionate ,driven,peaceful,saver,happy,nice
Poised,Hard-working,Elegant,Wise,Insightful,Strong-willed
kind,angelic,responsible,confident,loving,trustworthy
successful,confident,creative,secure,stable,serene 
Kind,sucessful,Leader,forgiving,Motivated,loving
Altruistic,Kind,Intellectual,Self-sacrificial,Charismatic,Self-made
anti-racist,inspiring,open,Responsible,kind,compassionate
good,atractive,honest,inteligent,smart,optimist
kind,reliable,friendly,responsible,punctual,honest
productive,fit,frugal,effective,philanthropic,concise
Generous,Relaxed,Rich,philanthropic,Kind,Intelligent
authentic,think things through,considerate,honest,sympathetic,activist
Empathetic,Nice,Quick Witted,Independent,Leadership,Commanding
kind,forgiving,thoughtful,driven,open,smart
Creative ,Carefree,Happy,Stable,Disciplined,Responsible
Strong,Resilient,Genuine,Provider,Protector,Smart
moral,fit,motherly,hardworking,healthy,organized
healthy,tidy,bilingual,healthy,tidy,worried
content,memorable,loving,altruistic,giving,informed
Reliable ,Leader,Funny,Helpful,Inspiring,Caring
Admirable,Fit,Interesting,Trustworthy,Accepting,Caring
Productive,Funny,Helpful,Honest,King,Courteous
Dedicated,Smart,Proactivity,Happy,Accepting ,harmonious
happy,happy,needed,satisfied,fulfilled,happy
smart,compassionate,deep-thinker,gullible,careless,patient
brave,inspiring,tall,responsible,charismatic,strong
helpful,caring,optimistic,Kind,brave,funny
trustworthy,Loved,caring,Faithful,humble,honest
Dedicated,Kind,Charitable,Empathetic,Informed,Fit
funny,fun,hopeful,smart,sexy ,caring
influential,Intelligent,Trendy,Hopeful,Honest,Charming
Optimistic,smart,helpful,Happy,thoughtful,fun
strong,content,kind,reliable,hard working,positive
friendly,intelligent,chill,brave,compassionate,thoughtful
successful,rich,extrovert,honest,fast learner,logical
strong ,brave,attractive,kind,smart,considerate
organized,smart,kind,caring,tough,devoted
kind ,empathetic,loving,forgiving,successful,generous
assertive,just,outgoing,honest,intelligent,wise
Sucessful,Entrepreneur,Traveler,Ethical,Wise,Noble
confident,happy,spontaneous,reliable,kind,responsible
Hardworking ,Level-Headed,Confident ,Loyal,caring ,Smart
kind,happy,inspirational,honest,confident,athletic
Kind,prolific,responsible,Civically engaged,decent,humble
kind,honest,successful,dedicated,accepting,responsible
Kind,Leader,Generous,Tough,Understanding,Fair
Honest ,Honest,Honest,Honest,Honest,Honest
Social,Intelligent,Trusting,Caring,Empathetic ,Selfless
intelligent,polite,likeble,wise,good,honest
good,forgiving,sucess,kind,giving,nice
Modest,Intelligent,Driven,Smart,Smart,Modern
smart,kind,dependable,rich,strong,capable
loyal,compassionate,empathetic,honest,educated,justice-seeking
Positive,Brave,Attractive,Healthy,Wealthy,Intelligence
brave,positive,thoughtful,frugal,kind,calm
good,sure,careful,good,worse,sincear
assertive,courageous,well liked,outgoing,fearless,well mannered
brave,encouraging,generous,kind,intelligent,well-spoken
kind,frugal,sweet,loving,honest,forgiving
Humble,Provider,A Friend,Fighter,Kind,Savior
Successful,Loved,Memorable,Open,Real,Honest
"Good, better",Great,Wealthy,generosity,nice,Intelligent
good,happy,loving,successful,honest,grateful
Ambitous ,kind,nice,Rich,Humble,funny
smart,successful,funny,caring,driven,thin
wise,flexible,strong,considerate,trustworthy,openminded
Smart,Kind,resourceful,Successful,Compassionate,Wealthy
Confident,Knowledgeable,Successful,Responsible,Open-minded,Kind
selfless,caring,convincing,honorable,trustworthy,confident
responsible ,motherly,funny,successful,happy,intelligent
open-minded,passionate,admirable,kind,ambitious,understanding
powerful,myself,myself,bold,brave,myself
reliable,successful,intelligent,friendly,loving,caring
Leader ,Courageous ,Compassionate ,Outspoken ,Inquisitive ,Strictness sometimes
Brave,intelligent,forgiving,Leader,generous,caring
kind,patient,diligent,efficiant,responsible,generous
entertaining ,outgoing,"Courageous	",healthy,vital,smart
Confident,relaxed,carefree,Humble,organized,careful
patient,financially smart,kind,successful,helpful,respected
adventurous,confident,caring,responsible,wise,smart
nice,happy,important,compassionate,dead,successful
Wise,Smart,Careful,Respectful,Helpful,Unselfish
Intelligent,Orator,Straightforward,Outspoken,Calm,Philantropy
"Outspoken, zealous and tenacious",Bright,loveable,Outspoken,Outgoing,Friendly
good ,father,handsome,wealthy,rich,fine
kind,smart,generous,responsible,trustworthy,courageous
disciplined,healthy,clean,motivated,positive,organized
helpful,loving,thoughtful,conscientious ,kind,hardworking
caring,generous,tolerant,attentive,fair minded,loving
Smart,Giving,Funny,Kind,Caring,Healthy
helpful,kind,mindful,obedient,brave,patient
friendly ,friendly,affectionate,happy,friendly,employee
SELFISH,NURTURING,INSPIRATIONAL,KIND,LOVING,CLASSY
Calm ,open,responsible,kind,generous,fair
Independent,Wise,Generous,Responsible,Kind,Considerate
charitable,faithful,kind,responsibile,honest,wise
calm,kind,dynamic,aggresive,honest,thrifty
Smart,normal,Truthless,Cute,happy,knowladgeable
Smart,normal,Truthless,Happy,cute,Knowladgeable
Honest,Successful,Well,Kind,Truthful,Open-hearted
Patient,Active,Creative,Relaxed,Organized,Calm
happy,harmonious,sincere,loving,honest,hard worker
honest man,friendly,buautiful,reliable,honest,clear to said
Disciplined,Hard-work,Positive,Patience,Attentive,Unbiased
charismatic,industrious,supportive,reliable,empathetic,intelligent
Innovative,Instructive,Nice,Careful,Punctual,Good
Balanced,Intelligent,Kind,Mature,Patient,Wealthy
cool,happy,confident,intelligent,nice,attractive
friendly,peacefull,carefull,nervous ,dangerous,tiny
open-minded and accepting,Loyal,Disciplined,Accepting and kind,Authentic,Caring
kind,sympathetic,helpful,forgiving,hardworking,likeable
Kind,Iconic,Intelligent,Responsible,Heoric,Brave
successful ,secure,smarter,accomplished,loyal,honest
loving,unique,decisive,friendly,caring,considerate
dependable,successful,determined,caring,trustworthy,giving
kind,empathetic,positive,responsible,efficient,confident
Trustworthy,Driven,Kind,Moral,Level-headed,Motivated
kind,smart,hard working,decent,responsible,wise
Driven,Not to be sensitive,Loving,Better for family,Best for son,Smart
Patient,Funny,Carefree,Kind,Strong,Organized
Good,Good,Good,Dishonest,Dishonest,Disonest
Honest,Truthful,wise,Dishonest,Dishonest,cruel
friendly,calm,charitable,loving,purposeful,nice
respopnsible,rich,successful,trustworthy,friendly,dedicated
Sophisticated,endearing,attractive,Worry-free,humble,caring
Kind,Compassionate,Courageous,Knowledgeable about my field,A person of integrity,Energetic
Determinate ,Calm,Successful ,Creative,Multi tasks  ,Hard worked 
honest,affecionate,hard working,pacient,pro-active,responsible
religious,relentless,helpful,hardworking,loyal,submissive
righteous ,passionate,mindful,honest,kind,empathetic
better,understanding,wiser,nice,polite,quiet
Smart,Nice,Helpful,Kind,Intelligent,Understanding
hard working,sucessful,happy,charitable ,not racist,honest
sincere,great,affectionate,intelligent,respectful,valuable
Smart,Fit,Charismatic,Dedicated,Humble,Outgoing
kind ,successful\,admirable,righteous,respectful,modest
empathetic,warm,funny,assertive,leader,caring
Agile,strong,funny,moral,smart,caring
advocating,adventurous,intelligent,kind,thoughtful,hardworking
honest,friendly,lucky,funny,communicable,attractive
Not sensitive,mature,creative,patient,motivated,shows initiative
kind,hardworking,dependable,honest,compassionate,warm
Patient,Flexible,Ambitious,Loving,Considerate,Forgiving
winner,responsible,retailer,happy,worker,honest
successful,sense of humor,talented,relaxed,outgoing,energetic
helpful,successful,friendly,law abiding,responsible,nurturing
Kind,Charismatic,Brave,Humble,Patient,Generous
kind,productful,married,generous,sucessful,well-liked
"nice, friendly, helpful, generous, honest",successful,rich,"good, lawful",assertive,honest
Generous ,Caring,Friendly,Fair,Charismatic ,Engaging 
Patience,Gentle,Giving,Homest,Forgiving,Motherly
confident,respectable,tougher,dependable,kind,modest
honest,respected,loved,motivated,ftrusting,loving
Successful,Influential,Motivated,Humble,Kind,Professional
brave,loving,happy,loyal,positive,hopeful
Helpful,Positive,Outgoing,Generous,Hard working,Supportive
honest ,courageous,polite,caring,beautiful ,nice
kind,smart,creative,patient,nice,outgoing
just,worry-free,determined,compassionate,nice,helpful
wealthy,fit,successful,famous,trustworthy,kind
outgoing,humble,popular,king,agressive,conscientious
Honest,Brave,Loving,Fair,Hard-working,Friendly
giving,selfless,loving,kind,generous,friendly
Confident,Open-minded,Positive-minded,Unselfish,Responsible,Helpful
Kind,Strong,Reliable,Patient,Strong work ethic,Educated
successful,tranquil,level headed,kind,hardworking,rich
honest,respected,loved,lawabiuing,loving,fair
Persistent,Time Management ,Creative,Organized,Business Savy,Compassionate
kind,Successful,Forgiving,Honest,Motivated,Patient
honest,Smart,Good,Truth,Active,Intelligent
generous,funny,efficient,calm,intelligent,caring
Aware,Caring,Unbiased,Hard-working,Reliable,Understanding
Smart,Reliable,Tenacious,Kind,Disciplined,Humble
Brave,Creative,Trustworthy,Responsible,Serious,Smart
good,good,good,good,good,good
considerate,affluent,disciplined,thoughful,generous,caring
Caring,Loyal,Kind,Caring,Helpful,Honest
Intelligent ,Hopeful,Skilled,Caring,Forgiving,Punctual
Rich,succesful,strong,Kind,Empathetic ,Careful
successful,confident,thoughtful,pretty,kind,interesting
generous,brave,curious,honest,fair,forgiving
Kind,Creative,Generous,Funny,Smart,Honest
Successful,Content,flexible,Kind,Understanding,patient
Successful,Likable,Loving,Happy,Kind,Hopeful
Brave,Fearless,Admired,Kind,Loving,Understanding
kind,fun,adventurous,responsible,good,smart
Honest,Successful,Helpful,wise,Lucky,kind
patient,loving,giving,powerful,joyful,abundant
giving,happy,educated,charitable,kind,compassionate
Creative,Kind,Self-aware,Sober,Caring,Unparticular
creative,rich,happy,caring,responsible ,hardworking
Wealthy,Successful,Ambitious,Kind,Goal oriented,Helpful
kind,respected,insirational,perfessional,generous,genius
nice,an inspiration,an influence ,outgoing,less lazy,hard working
Confident,Compassionate,Strong-willed,Hard-working,Responsible,Understanding
inspiring,empathetic,intelligent,loyal,reliable,loving
Successful,Happy,Intelligent,Kind,Generous,Considerate
honest,gentle,in great shape,ethical,caring,physically fit
brave,rich,cool,forgiving,talkative,responsible
independent,kind,smart,strong,understanding,patience
successful ,efficient,happy,wealthy,hopeful,strong
intelligent ,leader,cool,kind,humble,nice
confident,happy,friendly,nice,helpful,successful
successful,wealthy,smart,social,friendly,generous
compassionate,rich,religious,loving,adventurous,educated
kind,open-minded,selfless,activist ,intelligent ,driven
disciplined,purposefule,happy,non-procrastinating ,hard-working,responsible
reserved,experienced,generous,conservative,clever,calm
Trustworthy ,successful,athletic,respectful,kind,understanding
Empathetic,Generous,Strongwilled,Determined,Hardworking,Pleasant
influential person   ,Kind,Charismatic ,Intelligent,quick wit person ,Nice
loyal,kind,free,honest,sympathetic,understanding
Honest,Wise,Clever,Humble,Sincere,Responsible
Caring,Comedic,Successful,Time sensitive,Carefree,Compassionate
a kind person ,professional,loving,selfish,responsible, charitable
Honest,Smart,Attractive,Kind,Modest,Helpful
A father,Charismatic,Helpful,Disciplined,Resourceful ,Focused
successful,compassionate,genuine,caring,determined,hard-working
successful,dependable,wise,successful,trustworthy,intelligent
