ideal1,ideal2,ideal3,ought1,ought2,ought3
thoughtful,cheerful,smart,honest,hard working,friendly
smart,compassionate,nurturing,loyal ,loving,helpful
caring,free,loved,responsible,wealthy,punctual
rich,thin,patient,responsibly,hard working,polite
kind,successful,wise,thoughtful,careful,smart
honest,outgoing,loving,kind,caring,smart
generous,successful,passionate,compassionate,helpful,friendly
retired,rich,athletic,kind,supportive,understanding
kind,Trustworthy,Eager,Caring,Fun,Honest
a loving person,Giving,kind ,An honest person ,Forgiving ,turthful 
charitable,smart,scolarly,fashionable,energetic,patient
Famous,Great father,considered,Rich,sweet,Interesting
wealthy,generous,compassionate,ruthless,forgiving,kind
Generous,Carefree,Caring,Responsible,Diligent,Hardworking
successful,brave,rich,patient,honest,caring
Rich,Successful,Kind,Smart,Wise,Caring
Professional,Consistent,Achiever,Focused,Forgiving,Positive
smart,confident,healthy,helpful,nice,capable
patient,happy,smart,kind,trustworthy,faithful
Fit,Successful,Happy,Kind,Patient,Helpful
generous,Intelligent,ambitious,Smart,athletic ,healthy
Buff ,Genius,Fast,SMart,Strong,Successful 
successful,creative,kind,responsible,helpful,disciplined
Funny,Shy,Lovable,Humble,Humble,Outgoing
generous,forgiving,moral,nice,honest,jelous
Independent,Strong,competent,Devoted,Helpful,Loyal
King,Wealthy,Successeful,Warm,Social,Caring
motivated,creative,funny,affluent,responsible,compassionate
successful,happy,skilled,thin,nurturing,talented
successful,passionate,wise,responsible,honest,thoughtful
Motivated,Independent,Trusting,Honest,Hardworking,Caring
happy,fit,healthy,hardworking,honest,corageous
GENEROUS,FRIENDLY,TRUSTFUL,FUNNY,HONEST,COMPETITIVE
kind,intelligent,funny,generous,honest,hardworking
generous,charming,funny,loyal,reliable,committed
passionate,flexible,healthy,disciplined,generous,kind
Honest,Strong,Successful,Kind,Loyal,Smart
hardworking,critical thinking,good with money,honesty,punctual,polite
Motivated,Adventerous,Reasonable,Disciplined,Fearless,Ascended
smart ,tall,talented,nice,swee,strong
Independent,Muscular,Caring,Stronger,Diligent,Honest
trustworthy,independent ,rich,fun,smart,caring
loving,wise,passionate,considerate,helpful,hard-working
Selfless,Wise,Flexible,Cheerful,Honest,courageous
Succesful,Wise,Compassionate,Generous,Forgiving,Selfish
strong,funny,outgoing,smart,assertive,cool
generous,funny,fun,loyal,kind,relaxed
kind,caring,polite\,kind,compassionate,generous
nice,brave,fearless,friendly,generous,kind
honest,loyal,tactile,hardworking ,driven,truthful
honest,charitable,unbiased,forgiving,compassionate,dependable
loving,warm,kind,honest,friendly,ambitious
fun,loving,smart,good,funny,communicative 
hardworking,outgoing,excellent,helpful,altruistic,honest
helpful,well-off,happy,kind,loving,neat
intelligent ,attractive,helpful,brave,resourceful,caring
proactive,free,independent,hard-working,responsible,helpful
wealthy,nice,warm,rich,generous,cool
Confident,Successful,loving,outgoing,Kind-natured,Nonjudgemental
generous,outgoing,wealthy,friendly,respectful,empathetic
kind,happy,comfortable,responsible,attentive,helpful
wealthy,kind,independent,successful,resourceful,considerate
honest,successful,kind,responsible,Loving,aware
Hardworking,knowledgeable,studious,compassionate,cleanliness,sociable
ethical,old,remembered,honest,humble,compassionate
diligent,accomplished,determined,helpful,positive,openminded
generous,respectful,dependable,diligent,mean,sociable
financially stable,affectionate,healthy,generous,honest,positive
reliable,serious,nice,responsible,cool,friendly
Nice,Insightful,patient,Thoughtful,prompt,Introspective
Assertive,Kind,Friendly,Confident,Responsible,Helpful
successful,admirable,empathetic,dependable,honest,courageous
Dependable,Rich,Happy,Driven,Responsible,Dependable
MORE INTELLLIGENT,ENTERTAINING,GOAL DRIVEN,SENSITIVE,JOVIAL,FREINDLY
wealthy,loved,funny,kind,sociable,stable
Kind,Helpful,Funny,Hardworking,Compassionate,A Leader
patient,wise,empathetic,tolerant,generous,kind
Responsible ,Honest,Fun,happy,Careful,Healthy
Ambitious  ,Flexible,Benevolent,Caring,Forgiving,Captivating
spiritual',succesful,friendly,compassionate,understading,comprimising
Successful,Social,Spiritual,Timely,Methodical,Hard-Working
rich,lucky,strong,friendly,warm,frugal
strong,successful,kind,brave,assertive,loyal
successful,accomplished,respected,content,honest,open
patient,compassionate,knowledgeable,calm,kind,helpful
HONEST,HAPPY,POSITIVE,EMPATHETIC,HARDWORKING,HOPEFUL
fun ,rich,smart,quick,smiling,quick
rich,famous,powerful,kind,respectful,honest
moral,loving,compassionate,successful,forgiving ,healthy
kind ,caring,just,respectful,generous,forgiving
adventurous,confident,calm,strongg,intelligent,loyal
sexy,loving,exciting,smart,kind,positive
kind,succesful,rich,nice,smart,talented
famous,enthusiastic,college graduate,rich ,outward,simple
kind,caring,honest,gentle,resilient,hard-working
skinny ,patient ,wealthy ,successful ,kind,happy
fair,Rich,Responsible,Kind,Fun,Caring
kind,strict,hardworking,inventive,dominant,faithful 
Brave,Nice,Achiever,Happy,Honest,Hopeful
Smart ,compassionate,caring,Happy,funny,selfless
honest,motivated,smart,responsible,gentle,appreciative
A superhero,Rich,helpful,A regular person who's good at their work,Healthy,Middle Class
yes,good,nice,not sure,good,good
Rational,Different,Independent,Reliable,Calm,Caring
Nice,Loving,Happy,Caring,Giving,Loyal
successful,worth,healthy,kind,patient,loving
thrifty,wise,happy,loyal,honest,pious
intelligent ,healthy,efficient,kind,caaring,lovinig
Mercy.,Punctual.,Regular.,Lovable.,Kindhearted.,Positive.
kind,outgoing,loud,generous,Loving,nurturing
smart,Motivating,Loving,kind,Caring,Caring
rich,successful,powerful,kind,good,decent
honest,wealthy,successful,helpful,caring,compassionate
loyal,confident,clever,calm,brave,strong
daring,lovable,decent,trustworthy,honest,punctual
loyal,thoughtful ,funny,caring,assertive,outgoing
kind,caring,smart,loyal,honest,faithful
rich,liked,wise,honest,loyal,friendly
wise,respected,generous,competent,patient,motivated
positive,idealistic,Intuitive,honest,capable,Empathetic
logical,detail oriented,intelligent,selfless,nonbitter,bilingual
successful,wealthy,genius,kind,wise,moral
smart,relentless,caring,moral,brave,determined
open,successful,passionate,hardworker,caring,dedicated
kind ,courageous,esteemed,helpful,intelligent,careful
Forgiving,Admired,Smart,Nice,Generous,Fun
Resourceful,Helpful,Diligent,Truthful,Giving,Harkworking
Objective,Intelligent,Hygeinic,Dependable,Resourceful,Empathetic
honest,creative,helpful,hardworking,patient,charitiable
Generous,Patient,joyful,Happy,Kind,Caring
Confident,Intelligent,Ambitious,Kindhearted,Brave,Charitable
rich,Healthy,Kind,Comfortable,Compassionate,Loving
Generous,Motivational,Eco-conscious ,Patient,Graceful,Disciplined
proactive,charitable,social,complex,independent,environmentalist
successful,innovative,organized,moral,responsible,kind
generous,wise,loyal,reliable,responsible,kind
Kind,Friendly,Successful ,Fearless,Generous,Ambitious
compassionate,kind,moral,patient,responsible,communicative
anxiety-free,honest,friendly,kind,fair,confident
