"prescreen_key"
"question_id","export_name","question_text","section_id"
"803","Music-06","At what age did you start taking music lessons? (Privately, in-school, or group lessons). Please write N/A if not applicable","93"
"804","Music-07","On average, how many hours per week do you listen to music?","93"
"805","Music-08","Do you compose music?","93"
"806","Canadian_Ed","How many years have you spent within the Canadian education system (starting in Grade 1, ending in Grade 12)?","94"
"807","Canadian_Kinder","Did you attend kindergarten in Canada?","94"
"906","Armstrong1","Which of the following languages do you speak?","97"
"908","In the text box","In the text box below, please confirm the city and country in which you currently reside (e.g., Toronto, Canada).","98"
"909","Internet","Do you have steady access to the internet and a computer? Please note you cannot complete the study on a mobile device.","98"
"910","English","Can you read AND write English fluently?","98"
"911","History","Do you have a history of psychosis or a neurological condition (e.g., epilepsy)?","98"
"912","History2","If you answered ""Yes"" to the previous question, please specify:","98"
"913","TBI","Have you experienced a mild traumatic brain injury or concussion?","98"
"914","If you answered","If you answered ""yes"" to the previous question please specify when this injury occurred.","98"
"915","Drinking","Do you abstain from drinking (e.g., due to personal or religious reasons)?","98"
"916","COVID1","Have you ever been diagnosed with COVID-19?","98"
"917","COVID2","If you have been diagnosed with COVID-19, did you experience any lasting health effects (e.g., brain fog, loss of smell/taste, fatigue)?","98"
"918","moe_1","Pushing myself helps me see the bigger picture","99"
"919","moe_2","I often don’t understand why I am working so hard","99"
"920","moe_3","When I put forth lots of effort, I understand things better","99"
"921","moe_4","Life feels orderly or under control when I push myself","99"
"922","moe_5","I learn the most about myself when I am trying my hardest","99"
"923","moe_6","Things make more sense when I can put my all into them","99"
"924","moe_7","What I put a lot of effort into often ends up being meaningless to me","99"
"925","moe_8","When I work hard, it rarely makes a difference","99"
"926","moe_9","When I push myself, what I’m doing feels important","99"
"927","moe_10","When I try my hardest, no one cares","99"
"928","moe_11","When I push myself, I feel like I’m part of something bigger than me","99"
"929","moe_12","Life would have no purpose if I never had to try","99"
"930","moe_13","Life would be ideal if I never had to push myself","99"
"931","moe_14","Doing my best gives me a clear purpose in life","99"
"932","moe_15","When I try my hardest, my life has meaning","99"
"933","moe_16","When I exert myself, I feel connected to my ideal life","99"
"934","moe_17","I do not find working for others meaningful","99"
"935","moe_18","When unexpected work comes up, I feel it is a waste of my time","99"
"936","eve_pretest","University of Toronto should schedule more classes in the evening (after 6 PM).","100"
"937","eve_import","To what extent is this topic (i.e., evening clases) personally important to you?","100"
"938","open_pretest","University of Toronto should extend the hours that campus buildings are open.","100"
"939","open_import","To what extent is this topic (i.e., building hours) personally important to you?","100"
"940","tuition_pretest","University of Toronto should raise the tuition fee for the coming year.","100"
"941","tuition_import","To what extent is this topic (i.e., tuition) personally important to you?","100"
"942","book_pretest","University of Toronto libraries should reduce their collection of physical books and journals.","100"
"943","book_import","To what extent is this topic (i.e., library collection) personally important to you?","100"
"944","students_pretes","University of Toronto should increase the participation of students in its decision making.","100"
"945","students_import","To what extent is this topic (i.e., student decision making) personally important to you?","100"
"946","fit_pretest","University of Toronto should provide more ways for students to keep physically fit.","100"
"947","fit_import","To what extent is this topic (i.e., student physical fitness) personally important to you?","100"
"948","Facebook","How often do you use/check Facebook?","101"
"949","Instagram","How often do you use/check Instagram?","101"
"950","Twitter_1","How often do you use/check Twitter?","101"
"951","Twitter_2","What type of Twitter account do you have?","101"
"952","TikTok","How often do you use/check TikTok?","101"
"955","Music1","How many years of music playing experience do you have?","103"
"956","Music2","Do you have Absolute (Perfect) Pitch?","103"
"957","Music3","Please identify every instrument with which you have at least 1 year of experience.","103"
"958","Music4","Do you have any hearing impairments and/or cochlear implants?","103"
"959","Music5","Do you have experience playing atonal music?","103"
"960","How confident a","How confident are you in your music reading ability? (1 = Not Confident, 5 = Very Confident)","103"
"961","Music7","Do you consider yourself to be a musician?","103"
"962","Music8","How many years of formal music instruction do you have on your primary instrument?","103"
"963","ibgap_overall","Generally, do you find there is there a difference between what you INTEND to do and what you actually ACCOMPLISH?","104"
"964","ibgap_domains","In which areas of life do you have the biggest gap between what you INTEND to do and what you ACTUALLY do?","104"
"965","ibgap_feeling","Generally, how do you feel about the gap between your intentions and your actual behavior?","104"
"966","ibgap_cause","What do you think CAUSES the gap between your intentions and your behavior?","104"
"967","ibgap_change","What is an intention or goal that you have that you have a hard time accomplishing but really wish that you could?","104"
"968","ibgap_d_sleep","Generally, do you have a gap between the amount of time you INTEND to sleep and the time you ACTUALLY sleep?","104"
"969","ibgap_d_exercis","Generally, do you have a gap between how much you INTEND to exercise and how much you ACTUALLY exercise?","104"
"970","ibgap_d_schoolw","Generally, do you have a gap between how much effort and time you INTEND to put into your school work and how much you actually DO","104"
"971","ibgap_d_solo","Generally, do you have a gap between how much time you INTEND to spend on solo leisure (tv/gaming/web surfing) and how much you ACTUALLY DO?","104"
"972","ibgap_d_nonsolo","Generally, do you have a gap between how much time you INTEND to spend on NON-solo leisure (hanging out with friends/family/dating, etc.) and how much you ACTUALLY DO?","104"
"973","ibgap_d_alcohol","Generally, do you have a gap between how much you INTEND to drink alcohol and how much you ACTUALLY drink alcohol?","104"
"974","ibgap_selfimpro","Generally, do you have a gap between how much time you INTEND to spend on self-improvement and how much you ACTUALLY spend on self-improvement?","104"
"975","ibgap_planning","How would you rate your planning and organizational skills?","104"
"976","ibgap_selfcontr","How would you rate your general level of self-control?","104"
"977","ibgap_optimism","How would you rate your general level of optimism?","104"
"978","ibgap_ambition","How would you rate your general level of ambition?","104"
"979","ibgap_alignment","To what degree to you feel that you are living a life that is aligned with your VALUES?","104"
"980","ibgap_youothers","To what degree do you feel that your current life goals are decided by YOU versus OTHER people?","104"
"981","ibgap_satmax","When making decisions do you generally aim for a choice that is “good enough” or a choice that is “perfect”?","104"
"982","ibgap_exploreex","Generally do you prefer to explore many different interests, or focus on only one thing?","104"
"983","Q1","I am not a worrier","105"
"984","Q2","I like to have a lot of people around me","105"
"985","Q3","I enjoy concentrating on a fantasy or daydream and exploring all its possibilities, letting it grow and develop","105"
"986","Q4","I try to be courteous to everyone I meet","105"
"987","Q5","I keep my belongings neat and clean","105"
"988","Q6","At times I have felt bitter and resentful","105"
"989","Q7","I laugh easily","105"
"990","Q8","I think it’s interesting to learn and develop new hobbies","105"
"991","Q9","At times I bully or flatter people into doing what I want them to","105"
"992","Q10","I’m pretty good about pacing myself so as to get things done on time","105"
"993","Q11","When I’m under a great deal of stress, sometimes I feel like I’m going to pieces","105"
"994","Q12","I prefer jobs that let me work alone without being bothered by other people","105"
"995","Q13","I am intrigued by the patterns I find in art and nature","105"
"996","Q14","Some people think I’m selfish and egotistical","105"
"997","Q15","I often come into situations without being fully prepared","105"
"998","Q16","I rarely feel lonely or blue","105"
"999","Q17","I really enjoy talking to people","105"
"1000","Q18","I believe letting students hear controversial speakers can only confuse and mislead them","105"
"1001","Q19","If someone starts a fight, I’m ready to fight back","105"
"1002","Q20","I try to perform all the tasks assigned to me conscientiously","105"
"1003","Q21","I often feel tense and jittery","106"
"1004","Q22","I like to be where the action is","106"
"1005","Q23","Poetry has little or no effect on me","106"
"1006","Q24","I’m better than most people, and I know it","106"
"1007","Q25","I have a clear set of goals and work toward them in an orderly fashion","106"
"1008","Q26","Sometimes I feel completely worthless","106"
"1009","Q27","I shy away from crowds of people","106"
"1010","Q28","I would have difficulty just letting my mind wander without control or guidance","106"
"1011","Q29","When I’ve been insulted, I just try to forgive and forget","106"
"1012","Q30","I waste a lot of time before settling down to work","106"
"1013","Q31","I rarely feel fearful or anxious","106"
"1014","Q32","I often feel as if I’m bursting with energy","106"
"1015","Q33","I seldom notice the moods or feelings that different environments produce","106"
"1016","Q34","I tend to assume the best about people","106"
"1017","Q35","I work hard to accomplish my goals","106"
"1018","Q36","I often get angry at the way people treat me","106"
"1019","Q37","I am a cheerful, high-spirited person","106"
"1020","Q38","I experience a wide range of emotions or feelings","106"
"1021","Q39","Some people think of me as cold and calculating","106"
"1022","Q40","When I make a commitment, I can always be counted on to follow through","106"
"1023","Q41","Too often, when things go wrong, I get discouraged and feel like giving up","107"
"1024","Q42","I don’t get much pleasure from chatting with people","107"
"1025","Q43","Sometimes when I am reading poetry or looking at a work of art, I feel a chill or wave of excitement","107"
"1026","Q44","I have no sympathy for beggars","107"
"1027","Q45","Sometimes I’m not as dependable or reliable as I should be","107"
"1028","Q46","I am seldom sad or depressed","107"
"1029","Q47","My life is fast-paced","107"
"1030","Q48","I have little interest in speculating on the nature of the universe or the human condition","107"
"1031","Q49","I generally try to be thoughtful and considerate","107"
"1032","Q50","I am a productive person who always gets the job done","107"
"1033","Q51","I often feel helpless and want someone else to solve my problems","107"
"1034","Q52","I am a very active person","107"
"1035","Q53","I have a lot of intellectual curiosity","107"
"1036","Q54","If I don’t like people, I let them know it","107"
"1037","Q55","I never seem to be able to get organized","107"
"1038","Q56","At times I have been so ashamed I just wanted to hide","107"
"1039","Q57","I would rather go my own way than be a leader of others","107"
"1040","Q58","I often enjoy playing with theories or abstract ideas","107"
"1041","Q59","If necessary, I am willing to manipulate people to get what I want","107"
"1042","Q60","I strive for excellence in everything I do","107"
"1043","Parental educat","Did either of your parents complete a university education?","108"
"1044","Scientific inte","How often do you seek-out scientific information for your own interest?","108"
"1045","Info srcs","Where do you find yourself learning scientific information? Please select all that apply:","108"
"1046","Num. Articles","In your lifetime, approximately how many academic journal articles have you read?","108"
"1047","CNL_age","How old are you?","109"
"1048","CNL_fluency","How fluent is your English?","109"
"1049","Mo1","Are you a native speaker of English?","110"
"1050","Mo2","Do you have perfect or corrected vision?","110"
"1051","Mo3","Do you have any neurological disorders which impact your reading and comprehension abilities?","110"
"1052","Armstrong2","of which of the following languages would you consider yourself to be a native speaker?","97"
"1106","Min4_Do","On a daily basis, generally how often do you do the following to try to change how your close other thinks about their stressful events?remind them that things are probably not as bad as they seem","113"
"1107","HC2_Do","On a daily basis, generally how often do you do the following to try to change how your close other thinks about their stressful events?remind them to focus on aspects of the situation that they can change.","113"
"1108","LC1_Do","On a daily basis, generally how often do you do the following to try to change how your close other thinks about their stressful events?remind them to consider how the situation is out of their hands","113"
"1109","BF3_Do","On a daily basis, generally how often do you do the following to try to change how your close other thinks about their stressful events?remind them about how this situation is an opportunity to grow or learn","113"
"1110","Min2_Do","On a daily basis, generally how often do you do the following to try to change how your close other thinks about their stressful events?remind them about how this situation isn’t as serious as it seems","113"
"1111","HC3_Do","On a daily basis, generally how often do you do the following to try to change how your close other thinks about their stressful events?remind them that they can handle this","113"
"1112","LC3_Do","On a daily basis, generally how often do you do the following to try to change how your close other thinks about their stressful events?remind them to let go of things they cannot change","113"
"1113","BF2_Do","On a daily basis, generally how often do you do the following to try to change how your close other thinks about their stressful events?remind them of the good that can come from this situation","113"
"1114","Satisfied","In general, how satisfied are you with your relationship with this person?","113"
"1115","Comm","In general, how committed do you feel to your relationship?","113"
"1116","Close","In general, how close does your relationship feel?","113"
"1117","GetOnNerves","In general, how often does this person ‘get on your nerves’?","113"
"1118","Argue","In general, how often do you and this person argue?","113"
"1119","Atten_Check2","Could you please select the last option for this item or question?","113"
"1120","Breakup","In general, how often do you think about ending your relationship with this person?","113"
"1124","Income","Which of these categories best describes your total annual household income?","113"
"1125","Atten_Check3","Are you currently in a committed romantic relationship?","113"
"1126","CloseO_Select","Think of someone you are very close to. If you have a romantic partner, think of your romantic partner. If you do not have a romantic partner, think of your best friend or your closest family member.Which of the following best describes your relationship with this person? Select ""other"" if none apply.","114"
"1127","Beliefs_Ctrl1","For the following questions, consider this close other of yours. For each item, please answer using the scale provided.No matter how hard this person tries, they can't really change the emotions that they have.","114"
"1128","Beliefs_Ctrl2","Consider your close other: If they want to, this person can change the emotions that they have.","114"
"1129","Beliefs_Ctrl3","Consider your close other: The truth is, this person has very little control over their emotions.","114"
"1130","Beliefs_Ctrl4","Consider your close other: This person can learn to control their emotions.","114"
"1131","Rela_Length","For how long have you been in a relationship with this person? (Please enter a number in months)","114"
"1132","CloseO_Event_St","Now, please recall a time in the past month when your close other experienced something stressful that happened to them. If you recall more than one stressful events that they experienced, please select the most significant one for which you interacted with them. This event can be, but does not have to be rare or severe. Please rate the extent to which this event was stressful to your close other.","114"
"1133","ER_actions","Did you interact with your close other about how they feel? Please select among the following options to describe what happened, for example, who reached out to whom and for what purposes. What did you do in your interaction with that person?","114"
"1134","ER_Goal_Emo","Were you trying to make them feel a particular way ?","114"
"1135","ER_Goal_MultiSe","If you had any specific goals in mind, what was your goal when you were interacting with this person about their stressful event? [Please check all that apply]","114"
"1136","Age-Years","What is your age, in years?","2"
"1137","Min4_Do","When you were interacting with your close other about their stressful event, to what extent did you:remind them that things are probably not as bad as they seem.","114"
"1138","HC3_Do","When you were interacting with your close other about their stressful event, to what extent did you:remind them that they can handle this.","114"
"1139","LC1_Do","When you were interacting with your close other about their stressful event, to what extent did you:remind them to consider how the situation is out of their hands.","114"
"1140","Atten_Check","When you were interacting with your close other about their stressful event, to what extent did you:Please select the second option for this question.","114"
"1141","BF2_Do","When you were interacting with your close other about their stressful event, to what extent did you:remind them of the good that can come from this situation.","114"
"1142","Brett","How did the experience of your interaction affect how your close other felt?","114"
"1143","Brett2","How did the experience of your interaction affect how you felt?","114"
"1144","Brett3","How did the experience of your interaction affect the quality of your relationship with your close other?","114"
